date,Cooling Degree Days,Heating Degree Days,Precipitation,Palmer Drought Severity Index (PDSI),Average Temperature,Maximum Temperature,Minimum Temperature
1994-05-01,80,181,2.43,2.09,60.67,73.49,47.86
1994-06-01,260,24,2.90,1.63,70.95,83.93,57.97
1994-07-01,325,7,3.09,1.54,73.62,86.47,60.75
1994-08-01,264,19,2.54,1.23,72.21,85.23,59.20
1994-09-01,139,68,2.14,0.68,65.55,78.67,52.41
1994-10-01,49,275,2.86,1.25,54.21,65.91,42.51
1994-11-01,23,493,2.90,1.73,42.57,52.86,32.25
1994-12-01,10,724,2.19,1.75,36.23,45.70,26.76
1995-01-01,6,840,3.18,2.69,33.08,42.17,23.99
1995-02-01,8,732,1.60,1.93,37.36,48.79,25.93
1995-03-01,19,553,2.99,2.03,43.34,54.41,32.27
1995-04-01,30,378,2.83,2.36,49.41,61.50,37.31
1995-05-01,97,186,4.10,3.46,58.64,70.07,47.21
1995-06-01,198,37,3.23,3.59,67.55,79.84,55.26
1995-07-01,345,6,2.65,3.53,73.54,86.45,60.64
1995-08-01,358,9,2.66,3.22,74.32,87.12,61.50
1995-09-01,152,80,2.20,2.65,64.69,77.54,51.82
1995-10-01,61,238,2.63,2.81,54.45,67.48,41.41
1995-11-01,13,597,2.37,2.71,42.04,53.46,30.61
1995-12-01,5,863,2.25,2.57,33.42,43.29,23.56
1996-01-01,6,931,2.82,3.03,29.70,40.78,18.61
1996-02-01,6,730,1.89,2.59,35.69,47.16,24.22
1996-03-01,8,700,2.24,2.24,39.02,51.12,26.94
1996-04-01,27,360,2.56,2.15,50.65,63.72,37.58
1996-05-01,124,172,3.32,2.24,60.98,72.95,48.99
1996-06-01,226,30,2.87,1.90,69.87,82.65,57.07
1996-07-01,306,10,3.12,2.15,73.63,86.29,60.98
1996-08-01,288,11,2.66,2.11,72.43,85.21,59.65
1996-09-01,138,77,3.44,3.01,63.46,75.42,51.51
1996-10-01,46,279,2.49,3.15,53.65,66.07,41.23
1996-11-01,15,626,3.00,3.91,39.63,49.51,29.73
1996-12-01,7,757,3.29,5.07,33.91,43.68,24.12
1997-01-01,8,917,2.81,5.62,29.95,39.81,20.10
1997-02-01,11,665,2.39,5.38,36.05,46.08,26.02
1997-03-01,32,541,2.44,4.43,44.67,57.09,32.23
1997-04-01,20,407,2.99,4.84,47.91,59.86,35.96
1997-05-01,87,199,2.78,4.35,59.40,72.28,46.49
1997-06-01,187,36,3.40,4.45,68.31,80.42,56.17
1997-07-01,314,10,2.71,4.27,73.18,85.84,60.51
1997-08-01,270,18,2.68,4.10,71.74,84.15,59.34
1997-09-01,172,66,2.54,3.63,66.42,78.93,53.89
1997-10-01,47,277,2.52,3.66,53.92,66.24,41.59
1997-11-01,11,594,2.29,3.51,40.87,50.85,30.88
1997-12-01,6,802,2.31,3.38,34.00,43.05,24.94
1998-01-01,12,757,3.36,4.18,34.99,44.31,25.66
1998-02-01,7,623,3.32,4.83,38.71,47.82,29.61
1998-03-01,11,593,3.23,5.07,41.34,51.84,30.83
1998-04-01,24,338,2.57,4.65,51.06,63.46,38.66
1998-05-01,139,127,2.62,-0.54,62.47,75.15,49.78
1998-06-01,230,47,3.32,-0.04,68.13,80.35,55.90
1998-07-01,353,5,2.86,-0.05,75.49,88.07,62.89
1998-08-01,338,7,2.42,-0.49,74.03,86.95,61.07
1998-09-01,213,36,2.51,-0.89,68.99,81.95,56.01
1998-10-01,62,249,2.97,0.63,55.13,66.92,43.32
1998-11-01,22,486,2.63,0.73,44.91,54.73,35.04
1998-12-01,12,717,2.08,0.52,35.55,45.99,25.11
1999-01-01,12,841,3.13,1.20,33.78,44.46,23.13
1999-02-01,12,635,1.92,0.77,39.49,50.76,28.22
1999-03-01,13,636,2.19,0.21,42.80,54.75,30.83
1999-04-01,44,327,2.87,0.53,51.55,63.43,39.67
1999-05-01,98,152,2.91,0.52,60.06,72.73,47.37
1999-06-01,217,35,3.31,0.93,68.31,80.37,56.23
1999-07-01,367,7,2.58,0.87,74.30,86.86,61.74
1999-08-01,307,15,2.30,-0.36,72.91,85.93,59.88
1999-09-01,154,64,2.52,-0.25,64.35,77.94,50.74
1999-10-01,57,272,1.57,-0.78,54.75,68.88,40.62
1999-11-01,19,415,1.44,-2.07,48.11,61.16,35.06
1999-12-01,6,755,1.73,-3.31,36.10,47.10,25.11
2000-01-01,9,869,2.14,-4.31,33.57,44.20,22.91
2000-02-01,11,629,2.12,-5.14,39.78,51.19,28.36
2000-03-01,28,490,2.44,-5.16,46.04,58.08,33.98
2000-04-01,30,338,2.32,-4.94,52.59,65.77,39.42
2000-05-01,139,122,2.66,-5.02,63.14,75.99,50.27
2000-06-01,223,31,3.45,-4.05,69.03,81.59,56.44
2000-07-01,290,13,2.30,-4.07,73.87,86.92,60.82
2000-08-01,306,13,1.91,-4.75,74.05,87.33,60.75
2000-09-01,159,73,2.18,-4.70,65.57,79.09,52.05
2000-10-01,50,247,2.26,-4.24,55.09,67.17,43.02
2000-11-01,9,613,2.73,-3.38,38.03,47.89,28.15
2000-12-01,4,984,1.71,-3.50,28.44,38.53,18.34
2001-01-01,3,920,1.85,-3.67,31.35,41.41,21.31
2001-02-01,13,710,2.21,-3.03,33.98,44.46,23.49
2001-03-01,13,653,2.57,-2.68,41.49,52.23,30.72
2001-04-01,41,306,2.10,-3.00,53.08,65.43,40.73
2001-05-01,121,121,2.78,-3.12,62.82,76.12,49.50
2001-06-01,223,32,3.12,-2.65,69.24,82.02,56.44
2001-07-01,306,10,2.72,-2.55,74.48,87.10,61.84
2001-08-01,334,6,2.41,-2.82,74.30,87.42,61.18
2001-09-01,141,72,2.45,-2.69,65.70,78.84,52.54
2001-10-01,47,266,2.06,-2.52,54.37,67.51,41.23
2001-11-01,21,406,2.39,-2.74,47.41,59.02,35.78
2001-12-01,12,698,2.36,-2.97,36.12,46.17,26.08
2002-01-01,9,779,2.01,-3.34,34.48,45.07,23.90
2002-02-01,6,667,1.32,-3.83,36.39,48.54,24.22
2002-03-01,18,621,2.59,-3.20,39.54,51.73,27.37
2002-04-01,54,290,2.26,-3.36,53.49,65.95,41.04
2002-05-01,92,192,2.64,-3.12,59.29,72.46,46.09
2002-06-01,239,26,2.56,-3.34,70.86,83.98,57.74
2002-07-01,365,3,2.60,-3.56,75.85,88.79,62.91
2002-08-01,325,9,2.40,-3.76,72.86,85.95,59.77
2002-09-01,198,42,2.72,-0.04,66.85,79.63,54.05
2002-10-01,57,305,3.01,0.96,51.84,62.58,41.07
2002-11-01,11,563,1.94,0.71,41.97,52.74,31.19
2002-12-01,5,813,3.00,1.16,35.08,44.87,25.27
2003-01-01,4,939,1.33,0.76,32.81,43.38,22.24
2003-02-01,8,798,2.57,1.32,32.79,43.14,22.44
2003-03-01,25,573,2.48,0.96,43.30,54.97,31.62
2003-04-01,31,355,2.63,0.93,51.89,64.27,39.51
2003-05-01,110,173,3.27,1.10,60.98,73.22,48.76
2003-06-01,185,44,3.45,1.62,68.05,80.53,55.56
2003-07-01,335,5,2.64,1.60,75.47,88.70,62.22
2003-08-01,338,6,2.56,-0.23,74.66,87.42,61.88
2003-09-01,154,66,2.82,0.31,64.96,77.86,52.05
2003-10-01,64,262,1.83,-0.49,56.55,69.71,43.39
2003-11-01,22,486,2.55,-0.38,42.35,52.70,32.00
2003-12-01,4,788,2.38,-0.50,35.29,45.45,25.14
2004-01-01,7,960,1.97,-0.74,30.34,40.44,20.26
2004-02-01,7,762,2.45,-0.16,33.57,43.77,23.38
2004-03-01,29,491,2.01,-1.28,47.41,59.25,35.53
2004-04-01,28,308,2.50,-1.30,52.68,65.37,39.97
2004-05-01,136,115,3.34,0.21,61.92,74.37,49.44
2004-06-01,205,41,3.51,0.87,68.09,80.38,55.76
2004-07-01,297,9,3.05,1.50,72.90,85.26,60.53
2004-08-01,250,21,3.04,2.33,70.16,82.53,57.78
2004-09-01,172,52,2.98,2.63,65.66,78.28,53.04
2004-10-01,68,256,3.04,3.17,55.36,66.36,44.37
2004-11-01,18,494,3.18,4.00,43.99,53.83,34.16
2004-12-01,5,799,2.18,4.50,35.06,45.52,24.62
2005-01-01,11,849,2.70,4.99,33.39,42.87,23.92
2005-02-01,8,670,2.06,-0.08,37.94,48.15,27.73
2005-03-01,13,643,2.34,-0.34,42.31,53.91,30.72
2005-04-01,24,313,2.57,-0.35,52.27,65.16,39.36
2005-05-01,83,190,2.76,-0.34,59.56,72.00,47.10
2005-06-01,245,31,3.14,0.20,69.21,81.48,56.91
2005-07-01,367,4,2.70,0.11,75.31,88.50,62.10
2005-08-01,346,8,2.99,0.37,73.20,85.95,60.46
2005-09-01,211,42,1.94,-0.79,67.37,80.83,53.91
2005-10-01,55,241,2.37,-0.62,55.38,67.44,43.30
2005-11-01,20,470,2.22,-0.91,45.01,56.84,33.17
2005-12-01,5,862,2.29,-1.12,32.70,42.78,22.62
2006-01-01,14,685,2.61,-1.19,38.93,49.64,28.22
2006-02-01,5,722,1.52,-1.51,34.83,46.69,22.98
2006-03-01,21,600,2.31,-1.68,42.62,53.73,31.50
2006-04-01,55,273,2.54,-1.95,55.26,68.45,42.04
2006-05-01,109,142,2.29,-2.57,62.28,75.49,49.06
2006-06-01,234,25,2.56,-2.94,70.75,84.09,57.40
2006-07-01,383,3,2.46,-3.65,76.41,89.58,63.23
2006-08-01,331,11,2.80,-3.63,73.40,86.13,60.66
2006-09-01,135,86,2.80,-2.87,63.30,75.87,50.72
2006-10-01,46,310,2.90,-1.79,52.59,64.67,40.50
2006-11-01,14,474,2.46,-1.51,44.08,55.53,32.63
2006-12-01,12,691,2.57,-1.18,36.57,47.10,26.02
2007-01-01,10,840,2.22,-0.82,31.35,41.40,21.33
2007-02-01,6,838,1.76,-0.86,32.41,42.89,21.94
2007-03-01,31,497,2.31,-1.62,47.66,60.03,35.28
2007-04-01,24,373,2.49,-1.37,50.54,62.83,38.23
2007-05-01,117,117,2.75,-1.62,62.33,75.36,49.30
2007-06-01,232,27,2.91,-1.57,69.87,82.92,56.82
2007-07-01,308,6,2.88,-1.55,74.70,87.44,61.95
2007-08-01,363,9,2.60,-1.77,74.64,87.48,61.83
2007-09-01,187,50,2.17,-2.10,66.43,79.41,53.46
2007-10-01,80,181,2.72,-1.63,56.68,68.99,44.35
2007-11-01,17,522,1.40,-2.48,44.01,55.90,32.09
2007-12-01,13,798,2.97,-2.34,33.22,42.98,23.47
2008-01-01,7,886,2.21,-2.39,30.27,40.77,19.76
2008-02-01,12,729,2.47,0.48,34.70,46.02,23.38
2008-03-01,18,610,2.52,0.38,41.86,54.07,29.66
2008-04-01,31,325,2.54,0.49,50.40,63.46,37.33
2008-05-01,93,188,3.00,0.67,59.36,72.14,46.56
2008-06-01,262,29,3.00,0.64,69.60,82.63,56.57
2008-07-01,331,6,2.80,0.72,74.08,87.04,61.09
2008-08-01,281,15,3.05,1.18,72.28,84.94,59.61
2008-09-01,170,55,2.68,1.25,65.21,77.99,52.43
2008-10-01,48,283,2.18,1.22,53.98,66.81,41.16
2008-11-01,12,535,1.95,-0.37,43.92,54.93,32.90
2008-12-01,8,827,2.84,-0.05,31.87,42.60,21.15
2009-01-01,7,952,1.60,-0.34,31.05,42.31,19.76
2009-02-01,8,695,1.55,-0.81,36.77,48.51,25.03
2009-03-01,19,578,2.70,0.04,42.87,54.84,30.90
2009-04-01,30,334,2.83,0.41,50.92,63.41,38.41
2009-05-01,117,136,3.31,0.58,61.65,74.17,49.14
2009-06-01,221,43,3.01,0.68,68.54,80.56,56.48
2009-07-01,286,15,3.07,1.18,72.63,85.32,59.94
2009-08-01,303,14,2.69,1.42,71.89,84.60,59.18
2009-09-01,168,62,2.54,1.24,66.38,78.93,53.83
2009-10-01,47,333,4.29,3.41,50.50,60.89,40.10
2009-11-01,17,447,1.63,3.05,45.84,57.54,34.12
2009-12-01,7,873,3.08,4.16,29.64,38.98,20.30
2010-01-01,3,930,2.62,4.65,30.67,40.03,21.31
2010-02-01,2,811,2.01,4.30,31.80,41.16,22.44
2010-03-01,7,552,2.30,3.42,43.57,55.11,32.02
2010-04-01,35,272,2.38,2.73,53.24,66.15,40.33
2010-05-01,127,141,3.32,2.90,59.88,72.01,47.75
2010-06-01,282,31,3.49,3.03,70.48,82.58,58.39
2010-07-01,375,6,3.32,3.48,74.71,87.01,62.44
2010-08-01,351,9,2.51,3.12,74.05,86.83,61.27
2010-09-01,194,52,2.78,2.96,66.49,79.79,53.19
2010-10-01,53,238,1.97,2.36,56.14,69.44,42.84
2010-11-01,13,527,2.22,1.97,42.31,53.82,30.81
2010-12-01,2,904,2.45,1.72,32.47,42.03,22.91
2011-01-01,5,957,1.65,1.06,29.71,40.05,19.36
2011-02-01,8,744,1.98,1.02,33.04,44.42,21.67
2011-03-01,24,583,2.91,1.16,43.07,54.30,31.84
2011-04-01,53,315,3.42,1.85,51.96,64.20,39.72
2011-05-01,105,157,3.43,2.32,59.13,71.19,47.05
2011-06-01,259,38,2.58,-0.38,69.82,82.71,56.93
2011-07-01,404,7,2.44,-0.82,76.14,88.90,63.36
2011-08-01,349,9,2.34,-1.53,75.00,88.36,61.65
2011-09-01,174,57,2.48,-1.58,66.09,79.43,52.74
2011-10-01,48,257,2.14,-1.54,55.09,67.80,42.35
2011-11-01,17,473,2.47,-1.57,43.75,55.09,32.40
2011-12-01,10,727,2.26,-1.89,35.40,45.52,25.27
2012-01-01,11,765,2.09,-2.31,36.12,47.59,24.67
2012-02-01,12,632,1.85,-2.38,37.51,48.07,26.96
2012-03-01,48,381,2.87,-2.72,50.41,62.85,37.96
2012-04-01,47,293,2.23,-3.11,54.68,67.64,41.72
2012-05-01,154,98,2.50,-3.57,63.45,76.64,50.23
2012-06-01,232,31,2.24,-4.12,70.54,84.20,56.88
2012-07-01,401,4,2.51,-4.79,76.77,89.96,63.55
2012-08-01,327,8,2.47,-5.11,73.80,87.39,60.21
2012-09-01,172,60,2.34,-4.99,66.31,80.08,52.54
2012-10-01,53,263,2.23,-4.43,53.89,66.07,41.70
2012-11-01,12,543,1.32,-5.23,44.01,55.92,32.09
2012-12-01,10,702,2.88,-5.27,35.92,45.82,26.02
2013-01-01,14,833,2.37,-5.31,32.25,42.71,21.79
2013-02-01,10,738,2.02,-4.90,34.77,45.46,24.08
2013-03-01,10,664,1.72,-5.18,40.91,52.70,29.10
2013-04-01,32,349,2.90,0.58,49.68,62.06,37.26
2013-05-01,98,136,3.35,0.88,60.85,73.53,48.18
2013-06-01,243,26,3.34,1.08,70.39,82.99,57.78
2013-07-01,337,5,3.34,1.73,74.21,86.43,61.99
2013-08-01,286,11,2.56,1.69,72.99,85.39,60.58
2013-09-01,175,59,2.98,1.84,66.96,79.18,54.72
2013-10-01,54,259,2.23,1.85,53.44,65.32,41.54
2013-11-01,16,576,2.04,1.59,41.61,52.48,30.74
2013-12-01,12,835,2.21,1.43,31.06,41.52,20.61
2014-01-01,6,980,1.37,0.72,30.56,42.44,18.68
2014-02-01,11,807,2.25,1.00,32.13,43.02,21.24
2014-03-01,14,690,2.37,0.81,40.51,52.84,28.18
2014-04-01,35,328,2.88,1.06,51.69,64.56,38.80
2014-05-01,111,128,2.81,0.75,61.27,74.10,48.45
2014-06-01,240,27,3.67,1.33,69.58,81.81,57.36
2014-07-01,298,10,2.60,1.27,73.29,85.80,60.78
2014-08-01,289,13,3.13,1.79,72.25,84.22,60.26
2014-09-01,179,57,2.64,1.67,66.20,78.26,54.12
2014-10-01,71,222,2.42,1.53,56.93,69.39,44.46
2014-11-01,9,620,2.13,1.44,39.25,50.29,28.22
2014-12-01,9,712,2.58,1.42,36.81,45.34,28.26
2015-01-01,8,900,1.83,-0.15,33.08,43.27,22.89
2015-02-01,6,879,1.74,-0.29,32.99,44.40,21.58
2015-03-01,28,592,2.13,-1.06,45.39,57.76,33.03
2015-04-01,51,303,2.83,0.09,53.24,65.84,40.62
2015-05-01,123,119,4.44,1.47,60.84,72.54,49.12
2015-06-01,252,24,3.55,1.70,71.37,83.64,59.07
2015-07-01,333,6,3.23,2.23,73.92,85.96,61.84
2015-08-01,312,11,2.41,1.99,72.95,85.77,60.10
2015-09-01,220,31,2.12,1.09,68.54,81.30,55.74
2015-10-01,73,230,2.90,1.38,57.24,69.10,45.37
2015-11-01,27,448,3.35,2.09,44.60,55.22,33.96
2015-12-01,24,585,4.06,3.50,38.66,48.06,29.25
2016-01-01,6,881,2.04,3.60,32.22,41.86,22.59
2016-02-01,10,636,1.93,-0.31,39.47,50.81,28.11
2016-03-01,33,455,2.92,-0.48,47.50,59.47,35.51
2016-04-01,40,314,3.00,0.26,53.19,65.57,40.80
2016-05-01,94,152,3.07,0.40,60.33,72.50,48.15
2016-06-01,268,20,2.48,-0.70,71.76,84.92,58.60
2016-07-01,381,5,2.92,-0.82,75.22,87.91,62.53
2016-08-01,360,6,3.47,-0.09,73.53,85.80,61.23
2016-09-01,216,38,2.73,-0.07,67.12,79.39,54.84
2016-10-01,82,199,2.39,-0.17,57.72,69.89,45.55
2016-11-01,23,423,1.75,-1.18,47.97,59.56,36.36
2016-12-01,15,792,2.72,-1.40,32.95,42.64,23.27
2017-01-01,15,775,3.24,-0.91,33.57,42.78,24.35
2017-02-01,20,554,2.25,-0.92,41.18,52.14,30.20
2017-03-01,29,551,2.59,-1.23,46.15,57.81,34.48
2017-04-01,53,250,3.50,0.67,53.80,65.88,41.68
2017-05-01,102,156,3.36,1.00,60.57,73.26,47.86
2017-06-01,237,24,3.07,0.94,70.36,83.25,57.45
2017-07-01,359,5,2.80,0.89,75.70,88.56,62.85
2017-08-01,287,15,3.42,1.69,72.01,84.27,59.76
2017-09-01,180,44,2.27,-0.31,66.27,78.76,53.76
2017-10-01,74,194,2.60,0.30,55.69,68.45,42.93
2017-11-01,25,498,1.62,-0.72,45.03,56.17,33.87
2017-12-01,9,810,1.59,-1.54,34.29,44.83,23.74
2018-01-01,6,910,1.85,-2.30,32.16,43.16,21.16
2018-02-01,21,634,2.89,-1.66,35.51,46.67,24.37
2018-03-01,19,619,2.48,-1.66,42.73,54.01,31.44
2018-04-01,30,419,2.46,-1.26,49.03,61.84,36.19
2018-05-01,171,85,3.02,-1.70,65.52,78.40,52.61
2018-06-01,265,26,3.15,-1.64,71.55,84.16,58.93
2018-07-01,372,3,2.86,-1.80,75.45,88.23,62.67
2018-08-01,348,6,2.98,0.06,73.51,85.95,61.05
2018-09-01,226,37,3.57,0.80,67.53,79.36,55.71
2018-10-01,65,257,3.43,1.92,53.71,64.38,43.03
2018-11-01,15,603,2.71,2.56,40.01,50.16,29.86
2018-12-01,9,741,3.25,3.68,35.51,44.78,26.26
2019-01-01,7,873,2.56,4.16,32.56,42.30,22.84
2019-02-01,16,731,3.28,5.07,31.84,41.70,21.96
2019-03-01,16,644,2.24,4.36,40.28,51.39,29.19
2019-04-01,39,293,3.21,4.42,52.84,64.87,40.82
2019-05-01,124,160,4.47,5.54,59.49,70.86,48.11
2019-06-01,222,34,3.37,5.47,68.72,81.21,56.23
2019-07-01,370,5,2.76,5.22,74.62,87.10,62.13
2019-08-01,330,10,2.78,4.87,73.74,86.36,61.12
2019-09-01,237,41,2.45,4.00,68.43,80.60,56.26
2019-10-01,70,257,3.19,4.73,52.05,64.20,39.88
2019-11-01,13,600,1.94,4.35,41.11,52.30,29.89
2019-12-01,11,726,2.57,4.37,36.43,46.08,26.78
2020-01-01,13,750,2.74,4.78,35.55,45.03,26.06
2020-02-01,11,662,2.44,4.66,36.18,47.12,25.21
2020-03-01,40,492,2.86,-0.12,46.08,56.71,35.44
2020-04-01,39,367,2.52,0.08,50.88,63.63,38.12
2020-05-01,100,160,3.09,0.18,60.91,73.40,48.40
2020-06-01,242,25,2.73,-0.30,70.29,83.05,57.51
2020-07-01,394,4,2.94,-0.32,75.65,88.41,62.89
2020-08-01,351,7,2.43,-0.83,74.70,87.84,61.54
2020-09-01,174,59,2.44,-0.95,65.91,78.80,52.99
2020-10-01,77,252,2.18,-0.84,54.28,66.97,41.59
2020-11-01,28,428,1.94,-1.52,46.31,58.32,34.32
2020-12-01,5,761,2.06,-2.20,35.71,46.58,24.84
