date_index,USPop,Inflation Rate,GDP,GDP_PCH
1981-04-01,227970000.0,0.007416666666666666,1045.6604444444445,0.4089133333333333
1981-05-01,228157500.0,0.007416666666666666,1049.918888888889,0.4089133333333333
1981-06-01,228345000.0,0.007416666666666666,1054.1773333333333,0.4089133333333333
1981-07-01,228532500.0,0.007416666666666666,1065.0747777777779,1.03374
1981-08-01,228720000.0,0.007416666666666666,1075.9722222222222,1.03374
1981-09-01,228907500.0,0.007416666666666666,1086.8696666666667,1.03374
1981-10-01,229095000.0,0.007416666666666666,1089.115111111111,0.20659666666666665
1981-11-01,229282500.0,0.007416666666666666,1091.3605555555557,0.20659666666666665
1981-12-01,229470000.0,0.007416666666666666,1093.606,0.20659666666666665
1982-01-01,229652500.0,0.0031666666666666666,1092.882,-0.06620333333333334
1982-02-01,229835000.0,0.0031666666666666666,1092.1580000000001,-0.06620333333333334
1982-03-01,230017500.0,0.0031666666666666666,1091.434,-0.06620333333333334
1982-04-01,230200000.0,0.0031666666666666666,1097.841777777778,0.5870966666666667
1982-05-01,230382500.0,0.0031666666666666666,1104.2495555555556,0.5870966666666667
1982-06-01,230565000.0,0.0031666666666666666,1110.6573333333333,0.5870966666666667
1982-07-01,230747500.0,0.0031666666666666666,1114.474,0.34364
1982-08-01,230930000.0,0.0031666666666666666,1118.2906666666668,0.34364
1982-09-01,231112500.0,0.0031666666666666666,1122.1073333333334,0.34364
1982-10-01,231295000.0,0.0031666666666666666,1126.1338888888888,0.35884
1982-11-01,231477500.0,0.0031666666666666666,1130.1604444444445,0.35884
1982-12-01,231660000.0,0.0031666666666666666,1134.1870000000001,0.35884
1983-01-01,231837500.0,0.0031666666666666666,1142.0594444444444,0.6941033333333334
1983-02-01,232015000.0,0.0031666666666666666,1149.931888888889,0.6941033333333334
1983-03-01,232192500.0,0.0031666666666666666,1157.8043333333333,0.6941033333333334
1983-04-01,232370000.0,0.0031666666666666666,1169.5193333333334,1.01183
1983-05-01,232547500.0,0.0031666666666666666,1181.2343333333333,1.01183
1983-06-01,232725000.0,0.0031666666666666666,1192.9493333333332,1.01183
1983-07-01,232902500.0,0.0031666666666666666,1205.2083333333333,1.02762
1983-08-01,233080000.0,0.0031666666666666666,1217.4673333333333,1.02762
1983-09-01,233257500.0,0.0031666666666666666,1229.7263333333333,1.02762
1983-10-01,233435000.0,0.0031666666666666666,1241.4515555555556,0.9534833333333333
1983-11-01,233612500.0,0.0031666666666666666,1253.176777777778,0.9534833333333333
1983-12-01,233790000.0,0.0031666666666666666,1264.902,0.9534833333333333
1984-01-01,233959166.66666666,0.00325,1277.4962222222223,0.9956666666666667
